64464303	offpolicy-grpo-final-3b-math-seed43
64464304	offpolicy-topr-final-3b-math-seed43
64464305	offpolicy-tis-final-3b-math-seed43
64464306	offpolicy-raft-final-3b-math-seed43
64464307	offpolicy-rloo-final-3b-math-seed43
64464308	offpolicy-naive-reinforce-final-3b-math-seed43
64464309	offpolicy-tribe-negfrac0.5-final-3b-math-seed43
64464310	offpolicy-dpo-final-3b-math-seed43
64464311	offpolicy-simpo-final-3b-math-seed43
64464312	offpolicy-grpo-final-3b-math-seed44
64464313	offpolicy-topr-final-3b-math-seed44
64464314	offpolicy-tis-final-3b-math-seed44
64464315	offpolicy-raft-final-3b-math-seed44
64464316	offpolicy-rloo-final-3b-math-seed44
64464317	offpolicy-naive-reinforce-final-3b-math-seed44
64464318	offpolicy-tribe-negfrac0.5-final-3b-math-seed44
64464319	offpolicy-dpo-final-3b-math-seed44
64464320	offpolicy-simpo-final-3b-math-seed44
64464321	offpolicy-grpo-final-1b-math-seed43
64464322	offpolicy-topr-final-1b-math-seed43
64464323	offpolicy-tis-final-1b-math-seed43
64464324	offpolicy-raft-final-1b-math-seed43
64464325	offpolicy-rloo-final-1b-math-seed43
64464326	offpolicy-naive-reinforce-final-1b-math-seed43
64464327	offpolicy-tribe-negfrac0.5-final-1b-math-seed43
64464328	offpolicy-dpo-final-1b-math-seed43
64464329	offpolicy-simpo-final-1b-math-seed43
64464330	offpolicy-grpo-final-1b-math-seed44
64464331	offpolicy-topr-final-1b-math-seed44
64464332	offpolicy-tis-final-1b-math-seed44
64464333	offpolicy-raft-final-1b-math-seed44
64464334	offpolicy-rloo-final-1b-math-seed44
64464335	offpolicy-naive-reinforce-final-1b-math-seed44
64464336	offpolicy-tribe-negfrac0.5-final-1b-math-seed44
64464337	offpolicy-dpo-final-1b-math-seed44
64464338	offpolicy-simpo-final-1b-math-seed44
64464339	offpolicy-tribe-negfrac0.5-final-3b-math-seed42
64464340	offpolicy-tribe-negfrac0.5-final-1b-math-seed42
64464697	offpolicy-tribe-negfrac0.6-final-3b-math-seed43
64464698	offpolicy-tribe-negfrac0.6-final-1b-math-seed43
64464699	offpolicy-tribe-negfrac0.6-final-3b-math-seed44
64464700	offpolicy-tribe-negfrac0.6-final-1b-math-seed44
