64294709	offpolicy-tribe-posneg1.0-final-3b-gsm8k
64294710	offpolicy-tribe-posneg1.0-final-1b-gsm8k
64294711	offpolicy-tribe-posneg1.0-final-3b-math
64294712	offpolicy-tribe-posneg1.0-llama1b-math
64294713	offpolicy-tribe-flat-posneg1.0-gsm8k
64294714	offpolicy-tribe-flat-posneg1.0-1b-gsm8k
64294715	offpolicy-tribe-flat-posneg1.0-math
64294716	offpolicy-tribe-flat-posneg1.0-1b-math
64294717	offpolicy-tribe-posneg2.0-final-3b-gsm8k
64294718	offpolicy-tribe-posneg2.0-final-1b-gsm8k
64294719	offpolicy-tribe-posneg2.0-final-3b-math
64294720	offpolicy-tribe-posneg2.0-llama1b-math
64294721	offpolicy-tribe-flat-posneg2.0-gsm8k
64294722	offpolicy-tribe-flat-posneg2.0-1b-gsm8k
64294723	offpolicy-tribe-flat-posneg2.0-math
64294724	offpolicy-tribe-flat-posneg2.0-1b-math
64295001	offpolicy-tribe-posneg1.0-eps0.5-llama1b-math
64295002	offpolicy-tribe-flat-posneg1.0-eps0.5-1b-math
64295003	offpolicy-tribe-posneg2.0-eps0.5-llama1b-math
64295004	offpolicy-tribe-flat-posneg2.0-eps0.5-1b-math
64295046	offpolicy-tribe-negfrac0.6-eps0.5-llama1b-math
