64050388	tribe-lr1e-6-floor-negfrac0.0	/scratch4/workspace/ychittepu_umass_edu-tribe/onpolicy-suite/sweep-gsm8k-3b/tribe-lr1e-6-floor-negfrac0.0
64050389	tribe-lr1e-6-floor-negfrac0.2	/scratch4/workspace/ychittepu_umass_edu-tribe/onpolicy-suite/sweep-gsm8k-3b/tribe-lr1e-6-floor-negfrac0.2
64050390	tribe-lr1e-6-floor-negfrac0.4	/scratch4/workspace/ychittepu_umass_edu-tribe/onpolicy-suite/sweep-gsm8k-3b/tribe-lr1e-6-floor-negfrac0.4
64050391	tribe-lr1e-6-floor-negfrac0.6	/scratch4/workspace/ychittepu_umass_edu-tribe/onpolicy-suite/sweep-gsm8k-3b/tribe-lr1e-6-floor-negfrac0.6
64050392	tribe-lr1e-6-floor-negfrac0.8	/scratch4/workspace/ychittepu_umass_edu-tribe/onpolicy-suite/sweep-gsm8k-3b/tribe-lr1e-6-floor-negfrac0.8
64050393	tribe-lr1e-6-floor-negfrac1.0	/scratch4/workspace/ychittepu_umass_edu-tribe/onpolicy-suite/sweep-gsm8k-3b/tribe-lr1e-6-floor-negfrac1.0
64050394	tribe-lr1e-6-nofloor-negfrac0.0	/scratch4/workspace/ychittepu_umass_edu-tribe/onpolicy-suite/sweep-gsm8k-3b/tribe-lr1e-6-nofloor-negfrac0.0
64050395	tribe-lr1e-6-nofloor-negfrac0.2	/scratch4/workspace/ychittepu_umass_edu-tribe/onpolicy-suite/sweep-gsm8k-3b/tribe-lr1e-6-nofloor-negfrac0.2
64050396	tribe-lr1e-6-nofloor-negfrac0.4	/scratch4/workspace/ychittepu_umass_edu-tribe/onpolicy-suite/sweep-gsm8k-3b/tribe-lr1e-6-nofloor-negfrac0.4
64050397	tribe-lr1e-6-nofloor-negfrac0.6	/scratch4/workspace/ychittepu_umass_edu-tribe/onpolicy-suite/sweep-gsm8k-3b/tribe-lr1e-6-nofloor-negfrac0.6
