64028922	grpo	/scratch4/workspace/ychittepu_umass_edu-tribe/offpolicy-suite-final/final-3b-gsm8k/grpo/gsm8k	meta-llama/Llama-3.2-3B-Instruct
64028923	topr	/scratch4/workspace/ychittepu_umass_edu-tribe/offpolicy-suite-final/final-3b-gsm8k/topr/gsm8k	meta-llama/Llama-3.2-3B-Instruct
64028924	tis	/scratch4/workspace/ychittepu_umass_edu-tribe/offpolicy-suite-final/final-3b-gsm8k/tis/gsm8k	meta-llama/Llama-3.2-3B-Instruct
64028925	raft	/scratch4/workspace/ychittepu_umass_edu-tribe/offpolicy-suite-final/final-3b-gsm8k/raft/gsm8k	meta-llama/Llama-3.2-3B-Instruct
64028926	rloo	/scratch4/workspace/ychittepu_umass_edu-tribe/offpolicy-suite-final/final-3b-gsm8k/rloo/gsm8k	meta-llama/Llama-3.2-3B-Instruct
64028927	naive-reinforce	/scratch4/workspace/ychittepu_umass_edu-tribe/offpolicy-suite-final/final-3b-gsm8k/naive-reinforce/gsm8k	meta-llama/Llama-3.2-3B-Instruct
64028928	tribe-negfrac0.0	/scratch4/workspace/ychittepu_umass_edu-tribe/offpolicy-suite-final/final-3b-gsm8k/tribe-negfrac0.0/gsm8k	meta-llama/Llama-3.2-3B-Instruct
64028929	tribe-negfrac0.2	/scratch4/workspace/ychittepu_umass_edu-tribe/offpolicy-suite-final/final-3b-gsm8k/tribe-negfrac0.2/gsm8k	meta-llama/Llama-3.2-3B-Instruct
64028930	tribe-negfrac0.4	/scratch4/workspace/ychittepu_umass_edu-tribe/offpolicy-suite-final/final-3b-gsm8k/tribe-negfrac0.4/gsm8k	meta-llama/Llama-3.2-3B-Instruct
64028931	tribe-negfrac0.6	/scratch4/workspace/ychittepu_umass_edu-tribe/offpolicy-suite-final/final-3b-gsm8k/tribe-negfrac0.6/gsm8k	meta-llama/Llama-3.2-3B-Instruct
64028932	tribe-negfrac0.8	/scratch4/workspace/ychittepu_umass_edu-tribe/offpolicy-suite-final/final-3b-gsm8k/tribe-negfrac0.8/gsm8k	meta-llama/Llama-3.2-3B-Instruct
64028933	tribe-negfrac1.0	/scratch4/workspace/ychittepu_umass_edu-tribe/offpolicy-suite-final/final-3b-gsm8k/tribe-negfrac1.0/gsm8k	meta-llama/Llama-3.2-3B-Instruct
64028934	dpo	/scratch4/workspace/ychittepu_umass_edu-tribe/offpolicy-suite-final/final-3b-gsm8k/dpo/gsm8k	meta-llama/Llama-3.2-3B-Instruct
64028935	simpo	/scratch4/workspace/ychittepu_umass_edu-tribe/offpolicy-suite-final/final-3b-gsm8k/simpo/gsm8k	meta-llama/Llama-3.2-3B-Instruct
